SeriesName,Ticker,n_rows,n_anomalies,anomaly_rate,avg_score,max_score,n_features
AMD,AMD,1318,19,0.014415781487101669,-0.17962590149582872,0.0874959709826032,15
AMZN,AMZN,1318,14,0.010622154779969651,-0.22202662563278985,0.10938487714711931,15
GOOGL,GOOGL,1318,16,0.012139605462822459,-0.1957889067897853,0.05616349521821218,15
HIMS,HIMS,1318,23,0.017450682852807285,-0.18136756751061694,0.08310352758210349,15
HOOD,HOOD,1318,14,0.010622154779969651,-0.20561024523274998,0.08362746670612597,15
META,META,1318,13,0.009863429438543247,-0.22882619017552108,0.1128759680529332,15
MSTR,MSTR,1318,12,0.009104704097116844,-0.21752442344863263,0.08009810906080794,15
NASDAQ,^IXIC,1318,17,0.012898330804248861,-0.19714840949989845,0.08058483452843757,14
NVDA,NVDA,1318,15,0.011380880121396054,-0.18520488480667374,0.08605816700646818,15
ORCL,ORCL,1318,37,0.028072837632776935,-0.17880493368567496,0.11470652511949586,15
PLTR,PLTR,1318,14,0.010622154779969651,-0.19945261710039358,0.10364244194044059,15
PLUG,PLUG,1318,19,0.014415781487101669,-0.1903256732659891,0.12255423721026659,15
SP500,^GSPC,1318,17,0.012898330804248861,-0.20498838788608947,0.1086212609238929,14
TSLA,TSLA,1318,15,0.011380880121396054,-0.19402168705358896,0.09035403876473225,15
VIX,^VIX,1318,17,0.012898330804248861,-0.21951435980003978,0.12225140414248092,13
